1745612625133205 - DROP: Packet 58 at end of ingress (egress_spec == drop_port)
1745612625133324 - DROP: Packet 94 at end of ingress (egress_spec == drop_port)
1745612625199563 - DROP: Packet 95 at end of ingress (egress_spec == drop_port)
1745612625199625 - DROP: Packet 100 at end of ingress (egress_spec == drop_port)
1745612625263237 - DROP: Packet 96 at end of ingress (egress_spec == drop_port)
1745612625326457 - DROP: Packet 101 at end of ingress (egress_spec == drop_port)
1745612625710085 - DROP: Packet 59 at end of ingress (egress_spec == drop_port)
1745612625710271 - DROP: Packet 97 at end of ingress (egress_spec == drop_port)
1745612625712262 - DROP: Packet 102 at end of ingress (egress_spec == drop_port)
1745612625713393 - DROP: Packet 103 at end of ingress (egress_spec == drop_port)
1745612625832583 - ENQUEUE: Packet 104 to port 3 with priority 0 (queue 0), queue depth before: 0
1745612629168263 - DROP: Packet 105 at end of ingress (egress_spec == drop_port)
1745612629168345 - DROP: Packet 98 at end of ingress (egress_spec == drop_port)
1745612629168466 - DROP: Packet 99 at end of ingress (egress_spec == drop_port)
1745612629168941 - DROP: Packet 60 at end of ingress (egress_spec == drop_port)
1745612629680288 - DROP: Packet 61 at end of ingress (egress_spec == drop_port)
1745612629680291 - DROP: Packet 106 at end of ingress (egress_spec == drop_port)
1745612629680367 - DROP: Packet 100 at end of ingress (egress_spec == drop_port)
1745612629682480 - DROP: Packet 62 at end of ingress (egress_spec == drop_port)
1745612629682523 - DROP: Packet 107 at end of ingress (egress_spec == drop_port)
1745612630192255 - DROP: Packet 108 at end of ingress (egress_spec == drop_port)
1745612630192422 - DROP: Packet 101 at end of ingress (egress_spec == drop_port)
1745612630194709 - DROP: Packet 102 at end of ingress (egress_spec == drop_port)
1745612630705164 - DROP: Packet 63 at end of ingress (egress_spec == drop_port)
1745612631216218 - DROP: Packet 109 at end of ingress (egress_spec == drop_port)
1745612631216291 - DROP: Packet 103 at end of ingress (egress_spec == drop_port)
1745612631728175 - DROP: Packet 110 at end of ingress (egress_spec == drop_port)
1745612631729344 - DROP: Packet 64 at end of ingress (egress_spec == drop_port)
1745612632755214 - DROP: Packet 104 at end of ingress (egress_spec == drop_port)
1745612632755340 - DROP: Packet 105 at end of ingress (egress_spec == drop_port)
1745612632756315 - DROP: Packet 65 at end of ingress (egress_spec == drop_port)
1745612632816376 - DROP: Packet 111 at end of ingress (egress_spec == drop_port)
1745612632817622 - DROP: Packet 66 at end of ingress (egress_spec == drop_port)
1745612632877752 - DROP: Packet 67 at end of ingress (egress_spec == drop_port)
1745612632878638 - DROP: Packet 112 at end of ingress (egress_spec == drop_port)
1745612633133595 - DROP: Packet 106 at end of ingress (egress_spec == drop_port)
1745612633134596 - DROP: Packet 68 at end of ingress (egress_spec == drop_port)
1745612633199873 - DROP: Packet 113 at end of ingress (egress_spec == drop_port)
1745612633200094 - DROP: Packet 107 at end of ingress (egress_spec == drop_port)
1745612633263737 - DROP: Packet 108 at end of ingress (egress_spec == drop_port)
1745612633326805 - DROP: Packet 114 at end of ingress (egress_spec == drop_port)
1745612633710882 - DROP: Packet 115 at end of ingress (egress_spec == drop_port)
1745612633711099 - DROP: Packet 69 at end of ingress (egress_spec == drop_port)
1745612633712214 - DROP: Packet 109 at end of ingress (egress_spec == drop_port)
